label,dataset,mergeMode,vectorCount,numSegments,deleteRatio,mergedSize,wallMs,distanceComputations,recall,iters,mdr,epsRecall
lazy-thorough,RANDOM,SMART_MERGE,512000,5,0.2,471107,144125.33,2025764871,0.1594,3,,
lazy-thorough,SIFT,SMART_MERGE,200000,2,0.0,200000,35478.68,482484174,0.9424,3,,
lazy-thorough,SIFT,SMART_MERGE,200000,2,0.2,184081,31119.59,480238756,0.9014,3,,
lazy-thorough,SIFT,SMART_MERGE,200000,5,0.0,200000,33991.19,483972952,0.9281,3,,
lazy-thorough,SIFT,SMART_MERGE,200000,5,0.2,184081,33056.17,480238756,0.9014,3,,
lazy-thorough,SIFT,SMART_MERGE,512000,2,0.0,512000,107638.58,1282298027,0.9194,3,,
lazy-thorough,SIFT,SMART_MERGE,512000,2,0.2,471107,106429.10,1274618388,0.8583,3,,
lazy-thorough,SIFT,SMART_MERGE,512000,5,0.0,512000,108454.98,1284508088,0.9054,3,,
lazy-thorough,SIFT,SMART_MERGE,512000,5,0.2,471107,98763.74,1274618388,0.8583,3,,
quality-mdr,RANDOM,SMART_MERGE,200000,2,0.0,200000,21583.55,309213388,0.2784,1,1.0238,0.4377
quality-mdr,RANDOM,SMART_MERGE,200000,5,0.0,200000,20768.99,296323984,0.2747,1,1.0239,0.4362
quality-mdr,SIFT,SMART_MERGE,200000,2,0.0,200000,10577.88,114938654,0.9569,1,1.0011,0.9992
quality-mdr,SIFT,SMART_MERGE,200000,5,0.0,200000,10041.15,114228237,0.9542,1,1.0011,0.9991
